URL,Nome,Categoria,Descrizione,Tipo_Contenuto,Valore_AI,RSS_API,Priorità,Note
"https://salmonmagazine.com/","Salmon Magazine","Underground Autentico","FONTE PREMIUM - Cultura underground veronese, eventi alternativi, 'non solo Romeo e Giulietta'","Underground autentico","ALTISSIMO","SI","MASSIMA","Network culturale locale - Partnership strategica"
"https://www.ilbabbuinoghiotto.com/","Il Babbuino Ghiotto","Food Autentico","FONTE PREMIUM - Food blog di residenti Veronetta, gastronomia autentica, osterie nascoste","Food autentico","ALTISSIMO","SI","MASSIMA","Insider food locals - Partnership strategica"
"https://www.larena.it/","L'Arena","Media Locale","Quotidiano locale, sezione 'visitare Verona in caso di pioggia'","Media locale","ALTO","SI","MASSIMA","News e eventi locals"
"https://2night.it/verona/","2Night Verona","Eventi/Nightlife","Eventi, locali, vita notturna veronese","Eventi/Nightlife","ALTO","SI","MASSIMA","Eventi real-time - cosa fare: locali ed eventi"
"https://www.cittadiverona.it/","Città di Verona","Cultura Locale","Riferimenti culturali e storici locali, prospettiva comunitaria","Cultura locale","ALTO","SI","MASSIMA","Stories autentiche comunità"
"https://www.sanmarco.vr.it/blog/posti-sconosciuti-verona.htm","Posti Sconosciuti Verona","Hidden Gems","Hidden gems e luoghi poco conosciuti","Hidden gems","ALTISSIMO","NO","MASSIMA","Anti-mainstream - posti sconosciuti a Verona"
"https://sillaepepe.it","Silla e Pepe","Food Locale","Blog recensioni locali e ristoranti veronesi, prospettiva residents","Food locale","ALTO","SI","MASSIMA","Recensioni autentiche"
"https://www.itinerarinelgusto.it/","Itinerari nel Gusto","Food Events","Piattaforma eventi enogastronomici locali","Food events","ALTO","SI","Alta","Eventi food geolocalizzati"
"https://www.teatro.it/teatri/romano-verona-cartellone","Teatro Romano","Eventi Culturali","Cartellone eventi Teatro Romano","Eventi culturali","ALTO","SI","Alta","Alternative Arena - teatro romani eventi"
"https://www.visitverona.it/it/esplora/tesori-nascosti","Tesori Nascosti VisitVerona","Hidden Gems","Angoli nascosti e alternative turistiche","Hidden gems","ALTO","SI","Alta","Alternative spots - angoli nascosti"
"https://turismo.comune.verona.it","Turismo Comune Verona","Istituzionale","Sezione turismo del sito comunale con itinerari tematici","Istituzionale","ALTO","SI","Alta","Dati aperti, eventi pubblici"
"https://www.archeonaute.it/","Archeonaute","Cultura/Storia","Blog archeologico e storico, itinerari culturali approfonditi","Cultura/Storia","ALTO","SI","Media","Content expertise - itinerario"
