,,,,,,,,,,,AFFLUENZA,,,,,,
,NOME ,INDIRIZZO ,FASCIA DI PREZZO ,TIPO DI CUCINA ,ZONA,ORARIO DI APERTURA ,ACCESSIBILITA (sedia a rotelle),TARGET IDEALE,STILE VISITA,GPS,pranzo,pomeriggio,Cena,Dopo cena,METEO IDEALE / TIPOLOGIA (aperto - chiuso - misto),DESCRIZIONE,FOTO
RISTORANTI,Casa Perbellini – 12 Apostoli,"Vicolo Corticella San Marco 3, 37121 Verona",€€€€,"Creativa / Contemporanea, con menù degustazione stagionali","Centro storico, vicino a Piazza delle Erbe, l’Arena, e la Basilica di San Zeno","Martedì a Sabato (pranzo): 12:30–14:00

Martedì a Venerdì (cena): 19:30–21:00

Chiuso sabato sera, domenica, lunedì","Accessibile a sedia a rotelle, aria condizionata, Wi-Fi gratuito 
Tuttavia, non sono ammessi passeggini né seggioloni, ed è consigliato un dress code “elegante o smart casual”; non sono ammessi animali né bambini sotto i 12 anni","Coppie adulte, appassionati di alta cucina, amanti delle degustazioni sofisticate e delle esperienze gourmet in ambienti storici. Non adatto a famiglie con bambini piccoli o per chi cerca opzioni più informali.",Gastronomico,,Media,Bassa,Alta / Critica weekend,Bassa,Chiuso,"Ristorante nel cuore di Verona, sede dell’iconica insegna “12 Apostoli”, reinventato da Perbellini
Location storica valorizzata da Patricia Urquiola, con tre sale eleganti e accoglienti
Tre menù degustazione stagionali: “Io e Silvia”, “Storie di Casa”, “L’Essenza” (vegetariano/gluten-free)
Chef’s Table e rovine romane sotterranee per un'esperienza unica
Cantina	Ampia selezione di vini e rarità, conservati in una cantina storica",
,Ristorante Il Desco,"Via Dietro San Sebastiano 5/7, 37121 Verona",€€€€,"cucina contemporanea italiana 
Italian Contemporary, con menu degustazione e piatti iconici","Centro storico, in un elegante palazzo rinascimentale","Martedì a Sabato: pranzo 12:30–13:45; cena 19:30–21:45

Lunedì e Domenica: chiuso",,"Coppie o appassionati di alta cucina, perfetto per occasioni speciali in ambiente raffinato.",Gastronomico,,Media,Bassa,Alta / Critica weekend,Bassa,Chiuso,"Aperto nel 1982, noto come “salotto buono” di Verona. Stella Michelin consolidata.
Palazzo storico elegante, sale signorili, ideale per cene importanti.
Fusione tra tradizione e innovazione; signature dish mousse di burro e mascarpone; menu Capitolo 4.
Innovativo e rispettoso: Matteo Rizzo porta avanti l’eredità del padre Elia con equilibrio e originalità.
Chiuso domenica e lunedì; aria condizionata, wine list notevole, possibilità di consumare sulla terrazza.",
,Locanda 4 Cuochi ,"Via Alberto Mario 12, 37121 Verona",€€,"Italiana tradizionale contemporanea, con piatti semplici e creativi","Centro, vicino all’Arena","Lunedì: chiuso

Martedì: cena 19:30–22:00

Mer–Dom: pranzo 12:30–14:30 | 19:30–22:30","Accessibile in sedia a rotelle, seggioloni disponibili, accetta carte","Turisti e famiglie, ambiente rilassato e creativo, vicino ai principali punti di interesse.",Gastronomico,,Media,Bassa,Alta,Bassa,Misto,"Nato nel 2012 da quattro chef soci, il nome “Locanda” evoca tradizione. È un locale moderno, informale ed accogliente, con un tocco giocoso: ogni tavolo invita a lasciare un disegno o pensiero personale.
Il menu cambia stagionalmente, con sei proposte diverse all’anno. Piatti tradizionali rivisitati con creatività, come la mozzarella in carrozza “non fritta”, risotto con mousse di piselli, pollo speciale e maialino da latte.
Locale vivace e piacevole, a due passi dall'Arena. Gestito da ex allievi di Perbellini, offre posti a tavolo e uno scorcio diretto in cucina, con un approccio contemporaneo alla cucina italiana.
Ambiente casual-chic, carta giochi su tovagliato di carta, matite colorate, dessert iconico come il millefoglie e opzioni attente anche a esigenze speciali come quelle gluten-free.",
,Al Capitan della Cittadella ,"Piazza Cittadella 7/A, 37122 Verona",€€€,"Piatti di pesce di alta qualità, con twist contemporaneo; ottima carta dei vini e champagne","Zona Cittadella, leggermente fuori dalle mura ma vicino al centro","Lunedi: 19:30–22:00

Mart–Sab: pranzo 12:30–14:00; cena 19:30–22:00

Domenica: chiuso",Accessibile in sedia a rotelle e servizi per disabili; accetta carte,"Amanti del pesce raffinato, coppie o amanti del buon vino, in ambiente moderno ma elegante.",Gastronomico,,Media,Bassa,Alta,Bassa,Misto,"Ambiente contemporaneo con forti suggestioni marinaresche: pareti nei toni dell’azzurro e blu, arredi in stile nautico, atmosfera elegante e rilassante.
Aperto nel 2005 per volontà di Giancarlo Perbellini e Andrea Manzoli, è diventato un punto di riferimento per la cucina di pesce a Verona.
Menù di mare incentrato su stagionalità e freschezza: pesce del Tirreno e Adriatico, ostriche francesi e verdure selezionate. Presentazioni moderne e piatti iconici come cacciucco e cappon magro rivisitati.
Lo chef e patron Andrea Manzoli conduce una squadra giovane e dinamica, supportato da servizio attento e preciso.
Tra le proposte preferite figurano “Il mio scoglio e spaghetti”, una versione raffinata dello spaghetto allo scoglio; eccellenti crudi come il “bouquet di crudi”; e interpretazioni creative di fritti di mare.
Ampia selezione con particolare rilievo ai champagnes francesi, in linea con l’offerta raffinata del locale.",
,Ristorante Iris a Palazzo Soave,"Via Abramo Massalongo 5, 37121 Verona",€€€,cucina moderna con menu degustazione,"Centro storico, vicino a Piazza dei Signori","12:30 - 14:00 | 19.30 - 21:45
Domenica e lunedì chiuso",,"Clienti adulti e gourmet, adatto a cene di lavoro o serate eleganti.",Gastronomico,"45.4426, 10.9957",Media,Bassa,Alta / Critica weekend,Bassa,Misto,"In un quattrocentesco palazzo ricco di storia, Iris unisce antichi affreschi e scavi archeologici con arredi moderni di eccellente design.
Lo chef Giacomo Sacchetto propone degustazioni tematiche—dal territorio all’Adriatico—con piatti inventivi e sostenibili, in equilibrio tra identità e creatività.
Sala intima da 35 coperti, cucina a vista, cantina medievale e accessibilità per disabilità, tutto curato nei minimi dettagli.",
,Locanda di Castelvecchio,"Corso Castelvecchio 21, 37121 Verona",€€€,"Cucina tradizionale veronese, bolliti e pearà, ambiente storico",Castelvecchio / Centro,"Chiuso 
Martedì tutto il giorno
Mercoledì a pranzo
mercoledì 19:45–22
giovedì 12:45–14:30 | 19:45–22
venerdì 12:45–14:30 | 19:30–22
sabato 12:45–14:30 | 19:45–22
domenica 12:45–14:30 | 20–22
lunedì 12:45–14:30 | 19:45–22
","Locale ampio, parzialmente accessibile","Clientela veronese storica, gruppi e famiglie amanti della tradizione.",Gastronomico,"45.4383, 10.9872",Media,Bassa,Alta,Bassa,Chiuso,"Situata in un edificio ricco di storia: dall’antica farmacia del XVIII secolo alla gastronomia del 1831, fino al raffinato ristorante di oggi. L’arredo è raffinato e retrò, con salette diverse tra loro, arredi in stile Regency e elementi déco.
Specialità come il “carrello dei bolliti” con salsa pearà, arrosti, fettuccine con salse tradizionali, risotto all’Amarone e dolci casalinghi in stile tradizionale. La cucina è sontuosa e generosa, un vero tributo alla tradizione.
L’ambientazione romantica, elegante e accogliente reinterpreta il passato con gusto: tavoli raffinati, arredi d’epoca e una suggestiva cantina medievale convertita in spazio conviviale. Il servizio è attento e curato.",
,Antica Bottega del Vino,"Via Scudo di Francia 3, 37121 Verona",€€–€€€,"Piatti tipici veneti, famosissima per la cantina di vini (oltre 18.000 etichette)",Centro storico,"BOTTEGA
Aperta tutti i giorni
dalle 11.00 alle 24.00

RISTORANTE
Aperto tutti i giorni
dalle 12:00 alle 14:40 e dalle 19:00 alle 22:40.
(nelle sole serata di Opera dalle 18:30)","Accessibile, ambiente ampio","Amanti del vino, enoturisti, appassionati di storia della città.",Gastronomico,"45.4415, 10.9976",Media,Media,Alta,Media,Chiuso,"Fondata nel XVI secolo come “Osteria lo Scudo di Francia”, trasformata nei secoli fino ad acquisire l’attuale nome nel 1890. È oggi un simbolo di Verona e della sua cultura enologica.
Interni eleganti fin dall’inizio Novecento: boiserie, lampadari in fiaschi, tavoli ottagonali e arredamento in stile medioevale/tirolese. L’ingresso è caratterizzato da robuste imposte in legno e lanterne in ferro battuto.
Custodisce tra le più grandi e prestigiose cantine del mondo: migliaia di bottiglie da cinque continenti. Da Amarone eccellenze a cognac rari. Premiata più volte con il “Wine Spectator Grand Award”.
Proposte ispirate alla tradizione veronese: risotto all’Amarone, bigoli all’anatra, taglieri, serviti in eleganti salette o alcove nella cantina per esperienze intime e memorabili.
Un luogo conviviale, un “tempio del vino” per appassionati e curiosi, amato da critici, artisti e viaggiatori. Sotto la guida di Luca Nicolis, è diventato riferimento imprescindibile nell’enogastronomia mondiale.",
,L'Evangelista Ristorante & Enoteca,"Via Dietro Listone 19/D, Verona",€€€,"Creativa e mediterranea, ottima selezione di vini",Zona Porta Nuova / Castelvecchio,"Da Lunedì a Venerdì
12:15 – 14:00
19:00 (18:00*) – 22:15

Sabato
12:15 – 14:30
19:00 (18:00*) – 22:15

Domenica
12:15 – 14:30
19:00 (18:00*) – 21:45

* Per le sere con spettacoli in Arena
","Accessibile, locale moderno",Coppie e clienti internazionali alla ricerca di un’esperienza raffinata.,Gastronomico,"45.4381, 10.9881",Media,Bassa,Alta,Media,Misto,"Locale elegante e recentemente rinnovato, con cucina a vista e una piacevole zona esterna (“plateatico”) affacciata su un tranquillo vicolo vicino a Piazza Bra.
Proposte raffinate basate sulla tradizione italiana e veneta, con presentazioni moderne e sapori sorprendenti. Offre varianti vegane, vegetariane e senza glutine.
Ampia e ricercata selezione di vini locali, regionali, nazionali e internazionali, con un sommelier a disposizione per consigli esperti",
